tweet_id,retweet_count,favorite_count,favorite_retweet_ration
892420643555336193,7740,36366,4.698449612403101
892177421306343426,5730,31326,5.467015706806283
891815181378084864,3791,23598,6.224742811922975
891689557279858688,7902,39669,5.020121488230828
891327558926688256,8524,37867,4.4423979352416705
891087950875897856,2852,19069,6.686185133239832
890971913173991426,1859,11109,5.975793437331899
890729181411237888,17268,61269,3.548123697011814
890609185150312448,3934,26251,6.6728520589730556
890240255349198849,6730,29986,4.455572065378901
890006608113172480,6721,28879,4.296830828745723
889880896479866881,4569,26242,5.743488728386955
889665388333682689,9165,45215,4.933442444080742
889638837579907072,4115,25450,6.184690157958688
889531135344209921,2063,14234,6.899660688317984
889278841981685760,4883,23710,4.855621544132705
888917238123831296,4124,27406,6.6454898157129
888804989199671297,3889,24073,6.190023142195937
888554962724278272,3190,18598,5.830094043887147
888078434458587136,3171,20501,6.465152948596657
887705289381826560,4932,28459,5.7702757502027575
887517139158093824,10784,43665,4.049054154302671
887473957103951883,16495,64746,3.9251894513488934
887343217045368832,9587,31676,3.304057577970168
887101392804085760,5457,28826,5.282389591350559
886983233522544640,7025,32912,4.684982206405694
886736880519319552,2947,11290,3.831014591109603
886680336477933568,4090,21157,5.172860635696821
886366144734445568,2900,19918,6.868275862068965
886267009285017600,4,113,28.25
886258384151887873,5782,26356,4.558284330681425
885984800019947520,6157,30654,4.9787234042553195
885528943205470208,5854,33852,5.782712675093953
885518971528720385,3416,19279,5.643735362997658
885167619883638784,4009,20621,5.143676727363432
884925521741709313,16599,72680,4.378577022712212
884876753390489601,5117,26217,5.123509869063905
884562892145688576,4305,22880,5.314750290360046
884441805382717440,5215,25493,4.888398849472675
884247878851493888,18636,68413,3.6710130929383986
884162670584377345,2742,19219,7.009117432530999
883838122936631299,3151,20579,6.530942557918121
883482846933004288,9052,43150,4.7669023420238625
883360690899218434,3393,21356,6.294134983790157
883117836046086144,6085,34920,5.738701725554643
882992080364220416,3568,22496,6.304932735426009
882762694511734784,4482,26628,5.9410977242302545
882627270321602560,5575,26355,4.727354260089686
882268110199369728,10610,42221,3.979359095193214
882045870035918850,4486,27620,6.156932679447169
881906580714921986,3116,22914,7.353658536585366
881666595344535552,9790,47697,4.872012257405516
881633300179243008,7,120,17.142857142857142
881536004380872706,14643,46563,3.179881171891006
881268444196462592,4827,21882,4.53325046612803
880935762899988482,2554,16080,6.29600626468285
880872448815771648,3512,20048,5.708428246013668
880465832366813184,5707,26841,4.70317154371824
880221127280381952,3819,25424,6.657240115213407
880095782870896641,3983,26020,6.532764248054231
879862464715927552,3210,21079,6.566666666666666
879674319642796034,10,297,29.7
879492040517615616,2925,22124,7.563760683760684
879415818425184262,40772,99660,2.444324536446581
879376492567855104,2867,15846,5.527031740495291
879050749262655488,4305,21253,4.936817653890825
879008229531029506,2467,17898,7.254965545196595
878776093423087618,3754,18258,4.863612147043154
878604707211726852,6536,28422,4.348531211750306
878281511006478336,1185,7297,6.157805907172996
878057613040115712,6243,39704,6.359762934486625
877736472329191424,17421,74836,4.295735032432122
877556246731214848,3498,21430,6.126357918810749
877316821321428993,4777,25850,5.4113460330751515
877201837425926144,5135,25578,4.981110029211295
876838120628539392,3065,19517,6.367699836867863
876537666061221889,4311,22312,5.175597309209
876484053909872640,2183,17722,8.118185982592763
876120275196170240,4300,26423,6.144883720930233
875747767867523072,3934,23760,6.039654295882054
875144289856114688,4522,20681,4.573418841220699
875097192612077568,5600,25926,4.629642857142857
875021211251597312,4352,24072,5.53125
874680097055178752,4270,26282,6.15503512880562
874296783580663808,3787,24625,6.502508581991022
874057562936811520,3670,21477,5.852043596730245
874012996292530176,9475,32441,3.423852242744063
873580283840344065,3628,22902,6.312568908489526
873213775632977920,1475,6785,4.6
872967104147763200,5017,25841,5.150687661949372
872820683541237760,3441,13959,4.056669572798605
872620804844003328,3377,19633,5.8137400059224165
872486979161796608,8363,38606,4.616286021762526
872122724285648897,7499,32541,4.3393785838111745
871879754684805121,10207,35658,3.493484863329088
871762521631449091,3237,19191,5.928637627432808
871515927908634625,3228,19138,5.928748451053284
871102520638267392,5123,19860,3.8766347843060704
871032628920680449,3555,21590,6.073136427566808
870804317367881728,5750,31949,5.556347826086957
870726314365509632,3,116,38.666666666666664
870656317836468226,2459,11756,4.780805205368035
870374049280663552,24631,78828,3.2003572733547156
870308999962521604,3867,20837,5.388414791828291
870063196459192321,7748,34742,4.48399586990191
869772420881756160,9418,40455,4.295497982586537
869702957897576449,5882,26897,4.572764365861952
869596645499047938,2914,15216,5.22168840082361
869227993411051520,3534,19449,5.50339558573854
868880397819494401,13486,62363,4.624277028029067
868622495443632128,4960,25448,5.130645161290323
868552278524837888,1941,9612,4.95208655332303
867900495410671616,3914,23103,5.902657128257537
867774946302451713,6887,32431,4.709016988529113
867421006826221569,2334,15364,6.582690659811482
867051520902168576,7392,30787,4.164908008658009
866720684873056260,4500,19152,4.256
866686824827068416,3274,18442,5.632864996945632
866450705531457537,33113,116897,3.5302449189140215
866334964761202691,13401,50142,3.741661070069398
865718153858494464,5291,24559,4.641655641655642
865359393868664832,4713,25371,5.3831954169318905
865006731092295680,7250,26834,3.701241379310345
864873206498414592,8193,30942,3.7766385939216405
864279568663928832,2848,13981,4.909058988764045
864197398364647424,8355,28790,3.445840813883902
863907417377173506,3911,19767,5.054206085400153
863553081350529029,3959,14649,3.700176812326345
863432100342583297,4959,22858,4.609397055858036
863427515083354112,91,2127,23.373626373626372
863079547188785154,1051,8449,8.039010466222646
863062471531167744,2299,8129,3.535885167464115
862831371563274240,4872,18453,3.7875615763546797
862722525377298433,3347,16430,4.908873618165521
862457590147678208,4675,19674,4.2083422459893045
862096992088072192,21956,71473,3.2552832938604483
861383897657036800,10166,34754,3.4186504033051346
861288531465048066,3926,16535,4.211665817626082
861005113778896900,3626,16078,4.434087148372862
860563773140209665,2043,7221,3.534508076358297
860524505164394496,5054,22786,4.508508112386229
860276583193509888,3335,17718,5.312743628185907
860184849394610176,5567,16095,2.891144242859709
859924526012018688,3909,18913,4.838321821437708
859851578198683649,3345,14889,4.451121076233184
859607811541651456,1489,17983,12.077233042310276
859196978902773760,28780,86881,3.0187977762334954
859074603037188101,13020,32713,2.5125192012288786
858843525470990336,3335,15077,4.520839580209895
858471635011153920,4648,20816,4.478485370051635
858107933456039936,2784,15259,5.480962643678161
857989990357356544,2485,15600,6.277665995975855
857746408056729600,10193,33222,3.2592955950161877
857393404942143489,1574,5714,3.6302414231257942
857263160327368704,4338,19452,4.484094052558783
857214891891077121,17,219,12.882352941176471
857029823797047296,3838,18334,4.77696717040125
856543823941562368,2775,15875,5.7207207207207205
856526610513747968,1806,11541,6.3903654485049834
856288084350160898,15,504,33.6
856282028240666624,6068,27018,4.452537903757416
855862651834028034,25,332,13.28
855860136149123072,943,4805,5.095440084835631
855857698524602368,2042,11561,5.661606268364348
855851453814013952,17405,44566,2.5605285837403047
855818117272018944,5247,25998,4.954831332189823
855459453768019968,7950,29103,3.660754716981132
854732716440526848,5891,22266,3.779663894075709
854482394044301312,6677,28667,4.293395237382057
854365224396361728,4550,18478,4.061098901098901
854120357044912130,7268,31324,4.3098514034122175
854010172552949760,3066,15904,5.187214611872146
853760880890318849,5588,28024,5.015032211882605
853639147608842240,9799,34035,3.473313603428921
853299958564483072,3468,15212,4.38638985005767
852912242202992640,1775,8885,5.005633802816901
852672615818899456,2105,14654,6.961520190023753
852553447878664193,3395,16033,4.722533136966127
852311364735569921,9733,32603,3.349738004726189
852226086759018497,6698,19666,2.9361003284562557
852189679701164033,1555,11281,7.254662379421222
851591660324737024,3412,16048,4.703399765533412
851464819735769094,6918,23923,3.458080370049147
851224888060895234,5628,20404,3.62544420753376
850753642995093505,8983,30429,3.387398419236335
850380195714523136,2566,12928,5.038191738113796
850333567704068097,324,3419,10.552469135802468
850145622816686080,3736,16134,4.3185224839400425
850019790995546112,4798,20188,4.207586494372655
849776966551130114,7492,30128,4.0213561131874
849412302885593088,3121,15707,5.032681832745915
849336543269576704,1877,11304,6.022376132125733
849051919805034497,8361,41947,5.016983614400192
848690551926992896,4261,24969,5.859892044121098
848324959059550208,4554,24496,5.379007465963988
848213670039564288,722,8106,11.227146814404431
848212111729840128,3004,16192,5.390146471371505
847962785489326080,5020,23324,4.646215139442231
847842811428974592,1318,5396,4.094081942336874
847617282490613760,410,6943,16.934146341463414
847606175596138505,3386,18632,5.5026580035440045
847251039262605312,4268,20376,4.774133083411434
847157206088847362,5789,19758,3.4130247020210747
847116187444137987,3146,21328,6.779402415766052
846874817362120707,3891,19973,5.133127730660498
846514051647705089,11453,44368,3.8739194970750024
846505985330044928,3041,14024,4.611640907596185
846153765933735936,8972,31471,3.507690592955863
846139713627017216,9930,30880,3.109768378650554
846042936437604353,2843,15905,5.594442490327119
845812042753855489,8634,29108,3.371322677785499
845677943972139009,4758,25085,5.272173182009247
845397057150107648,1792,7610,4.246651785714286
845306882940190720,5355,23251,4.341923436041083
844979544864018432,2541,13580,5.34435261707989
844973813909606400,3169,15031,4.743136636162827
844580511645339650,3113,16424,5.2759396080950856
844223788422217728,2185,13614,6.2306636155606405
843981021012017153,2928,15158,5.176912568306011
843856843873095681,4594,21415,4.66151501959077
843604394117681152,2733,16859,6.168679107208196
843235543001513987,6001,21485,3.5802366272287953
842846295480000512,3626,15264,4.209597352454495
842765311967449089,1279,6728,5.260359655981236
842535590457499648,3493,18093,5.179788147724019
842163532590374912,5777,24453,4.232819802665744
842115215311396866,3023,13978,4.623883559378101
841680585030541313,7789,25724,3.302606239568622
841439858740625411,3686,12669,3.437059142702116
841320156043304961,5490,19808,3.608014571948998
841314665196081154,4649,15852,3.409765540976554
841077006473256960,5299,22897,4.321003963011889
840698636975636481,2,175,87.5
840696689258311684,974,12306,12.634496919917865
840632337062862849,1765,9019,5.109915014164306
840370681858686976,4539,16486,3.632077550121172
840268004936019968,5744,19302,3.360376044568245
839990271299457024,2278,13449,5.903863037752415
839549326359670784,7765,27536,3.5461687057308433
839239871831150596,6540,27204,4.159633027522935
838952994649550848,4009,19712,4.916936891993016
838921590096166913,2071,11195,5.405601158860454
838561493054533637,1341,10982,8.189410887397464
838476387338051585,4782,22597,4.725428690924299
838150277551247360,332,1678,5.054216867469879
838085839343206401,1,140,140.0
838083903487373313,3146,17716,5.631277813095995
837820167694528512,7886,34281,4.3470707583058585
837482249356513284,444,3861,8.695945945945946
837471256429613056,2283,12868,5.636443276390714
837110210464448512,2372,16136,6.802698145025295
836989968035819520,2294,12826,5.591107236268527
836753516572119041,4659,19419,4.168061815840309
836677758902222849,2237,12672,5.664729548502459
836380477523124226,3004,14842,4.940745672436751
836260088725786625,4321,21436,4.960888683175191
836001077879255040,4285,19205,4.481913652275379
835574547218894849,3644,17904,4.913282107574094
835297930240217089,3035,16574,5.460955518945634
835264098648616962,1713,7788,4.546409807355516
835246439529840640,73,2117,29.0
835172783151792128,5799,26342,4.542507328849802
835152434251116546,3038,22572,7.429888084265964
834931633769889797,1657,10878,6.564876282438141
834786237630337024,5536,21482,3.8804190751445087
834574053763584002,2556,13767,5.386150234741784
834458053273591808,1695,9694,5.7191740412979355
834209720923721728,4798,20746,4.323884952063359
834167344700198914,3685,15942,4.326187245590231
834089966724603904,2153,10131,4.70552717138876
834086379323871233,2226,13172,5.917340521114106
833863086058651648,2425,13514,5.572783505154639
833826103416520705,3802,18186,4.783271962125197
833722901757046785,3251,20967,6.4494001845585975
833479644947025920,2070,14960,7.2270531400966185
833124694597443584,4886,20354,4.165779778960295
832998151111966721,2220,13377,6.025675675675676
832757312314028032,3657,16991,4.646158053048947
832682457690300417,2946,11982,4.067209775967413
832645525019123713,535,2955,5.5233644859813085
832636094638288896,2815,15981,5.67708703374778
832397543355072512,2237,12068,5.394725078229772
832369877331693569,3218,17337,5.387507768800497
832273440279240704,2360,11453,4.852966101694915
832088576586297345,2,64,32.0
832032802820481025,4705,18042,3.834643995749203
831939777352105988,6201,24236,3.9084018706660215
831926988323639298,34,342,10.058823529411764
831911600680497154,6575,27884,4.240912547528517
831670449226514432,1843,10545,5.721649484536083
831650051525054464,1952,7218,3.6977459016393444
831552930092285952,2334,9067,3.8847472150814055
831322785565769729,1570,9355,5.95859872611465
831315979191906304,1135,6607,5.8211453744493395
831309418084069378,2485,11868,4.775855130784708
831262627380748289,2068,12029,5.816731141199226
830956169170665475,1515,8066,5.324092409240924
830583320585068544,16975,67563,3.9801472754050073
830097400375152640,2985,9915,3.321608040201005
829861396166877184,1976,12360,6.255060728744939
829501995190984704,10728,32111,2.993195376584638
829449946868879360,2052,10569,5.150584795321637
829141528400556032,7446,24686,3.315337093741606
829011960981237760,16496,53705,3.255637730358875
828770345708580865,5941,25873,4.354990742299276
828708714936930305,11326,36937,3.2612572841250222
828650029636317184,1367,9625,7.040965618141916
828409743546925057,1179,6421,5.446140797285835
828408677031882754,1306,7765,5.945635528330781
828381636999917570,2244,12739,5.676916221033868
828376505180889089,1087,7463,6.865685372585097
828372645993398273,2983,12697,4.2564532349983235
828361771580813312,173,2220,12.832369942196532
828046555563323392,2913,11910,4.088568486096808
828011680017821696,2174,10472,4.816927322907084
827933404142436356,5317,20362,3.8296031596765094
827653905312006145,3059,15675,5.124223602484472
827600520311402496,955,7529,7.883769633507853
827324948884643840,3103,16059,5.175314212052852
827199976799354881,2258,10706,4.741364038972542
826958653328592898,5089,21859,4.295342896443309
826848821049180160,10320,36836,3.56937984496124
826598799820865537,257,5184,20.171206225680933
826598365270007810,2381,10181,4.275934481310374
826476773533745153,4258,18654,4.380930014091122
826240494070030336,2645,13474,5.09413988657845
826204788643753985,938,4945,5.271855010660981
826115272272650244,3184,15862,4.98178391959799
825876512159186944,1903,10614,5.5775091960063055
825829644528148480,2522,12906,5.11736716891356
825535076884762624,17783,57558,3.236686723275038
825147591692263424,4612,18564,4.025151777970511
825026590719483904,1284,6397,4.98208722741433
824775126675836928,3579,15156,4.234702430846605
824663926340194305,1771,10244,5.784302653867871
824325613288833024,10681,11987,1.1222731953936897
824297048279236611,3935,15281,3.8833545108005083
